"STK
(STK)";"0.030418
USD"
"Smartlands
(SLT)";"1.98
USD"
"Everex
(EVX)";"0.613743
USD"
"Constellation
(DAG)";"0.016851
USD"
"Boolberry
(BBR)";"0.841251
USD"
"Bloom
(BLT)";"0.206611
USD"
"DeepOnion
(ONION)";"0.625971
USD"
"Medicalchain
(MTN)";"0.052882
USD"
"Incent
(INCNT)";"0.210565
USD"
"Rate3
(RTE)";"0.022483
USD"
"ProChain
(PRA)";"0.192359
USD"
"Propy
(PRO)";"0.491698
USD"
"Olympus Labs
(MOT)";"0.259328
USD"
"Neurotoken
(NTK)";"0.117109
USD"
"GridCoin
(GRC)";"0.024331
USD"
"Numeraire
(NMR)";"7.02
USD"
"Pascal Coin
(PASC)";"0.433689
USD"
"Moeda Loyalty Points
(MDA)";"0.480065
USD"
"SureRemit
(RMT)";"0.018676
USD"
"DADI
(DADI)";"0.121124
USD"
"Merculet
(MVP)";"0.009949
USD"
"MedicCoin
(MEDIC)";"0.049425
USD"
"Crowd Machine
(CMCT)";"0.020379
USD"
"BlackCoin
(BLK)";"0.124601
USD"
"RevolutionVR
(RVR)";"0.043678
USD"
